item,data_lancamento,lanc_Ent_qtd,lanc_Ent_valor,lanc_Sai_qtd,lanc_Sai_valor,saldo_inicio_valor,saldo_inicio_qtd,saldo_final_valor,saldo_final_qtd
80.03.104-1,27/08/2012,34100.0,70992.96,0.0,0.0,132613.28,66780.0,203606.24,100880.0
80.03.104-1,28/08/2012,12090.0,25170.07,0.0,0.0,203606.24,100880.0,228776.31,112970.0
80.03.104-1,29/08/2012,11160.0,22600.23,11160.0,22600.23,228776.31,112970.0,228776.31,112970.0
80.03.104-1,30/08/2012,0.0,0.0,11104.6605,22488.16,228776.31,112970.0,206288.15,101865.3395
80.03.104-1,04/09/2012,18280.0,38058.44,0.0,0.0,206288.15,101865.3395,244346.59,120145.3395
80.03.104-1,05/09/2012,55.3395,113.45,55.3395,113.45,244346.59,120145.3395,244346.59,120145.3395
80.03.104-1,06/09/2012,20020.0,41680.49,61.0132,125.08,244346.59,120145.3395,285902.0,140104.32630000002
80.03.104-1,12/09/2012,9270.0,19004.24,9270.0,19004.24,285902.0,140104.32630000002,285902.0,140104.32630000002
80.03.104-1,13/09/2012,11280.0,23483.93,9239.252700000001,18941.21,285902.0,140104.32630000002,290444.72,142145.0736
80.03.104-1,14/09/2012,8820.0,18081.71,17768.3174,36426.479999999996,290444.72,142145.0736,272099.95,133196.7562
80.03.104-1,17/09/2012,9770.0,20029.28,9770.0,20029.28,272099.95,133196.7562,272099.94999999995,133196.7562
80.03.104-1,19/09/2012,18510.0,38537.21,0.0,0.0,272099.94999999995,133196.7562,310637.16,151706.7562
80.03.104-1,26/09/2012,0.0,0.0,4841.6152,9925.71,310637.16,151706.7562,300711.44999999995,146865.141
80.03.104-1,27/09/2012,11750.0,24462.28,0.0,0.0,300711.44999999995,146865.141,325173.73,158615.141
80.03.104-1,30/09/2012,0.0,1.4,0.0,1.4,325173.73,158615.141,325173.73,158615.141
80.03.104-1,03/10/2012,0.0,0.0,2.7331,5.61,325173.73,158615.141,325168.12,158612.4079
