item,data,quantidade_ent,valor_ent,quantidade_sai,valor_sai,saldo_inicial_qtd,saldo_final_qtd,saldo_inicial_valor,saldo_final_valor
10.01.206-6,02/08/2012,881.8257,1749.45,1488.5523,2934.1499999999996,3119.5024000000003,2512.7758000000003,5839.66,4654.96
10.01.206-6,07/08/2012,4894.4609,9710.07,813.6751,1603.87,987.8062000000004,5068.592000000001,1649.0299999999997,9755.23
10.01.206-6,13/08/2012,902.4398,1790.34,1076.7713,2122.4700000000003,1951.0412000000006,1776.7097000000003,3610.0899999999992,3277.959999999999
10.01.206-6,14/08/2012,7903.913600000001,15680.54,1085.3915,2139.48,1776.7097000000003,8595.231800000001,3277.959999999999,16819.02
10.01.206-6,20/08/2012,1339.5688,2657.56,1281.9541,2526.93,5955.753600000002,6013.368300000002,11616.189999999999,11746.82
10.01.206-6,22/08/2012,1872.2507999999998,3707.67,1814.0855000000001,3575.8500000000004,4836.125100000002,4894.290400000002,9426.32,9558.14
10.01.206-6,28/08/2012,2684.2892,5325.34,1237.6352,2439.54,1507.5530000000012,2954.2070000000012,2882.38,5768.18
10.01.206-6,29/08/2012,4313.6929,8557.9,281.02279999999996,553.9300000000001,2954.2070000000012,6986.8771000000015,5768.18,13772.15
10.01.206-6,03/09/2012,446.9883,889.5,1360.5968,2703.12,4645.095500000001,3731.4870000000014,9156.16,7342.539999999999
10.01.206-6,05/09/2012,11682.091,23247.35,1289.1299,2561.15,2570.435300000001,12963.396400000001,5035.839999999999,25722.039999999997
10.01.206-6,06/09/2012,604.4186,1202.79,1108.1562999999999,2201.61,12963.396400000001,12459.658700000004,25722.039999999997,24723.219999999998
10.01.206-6,10/09/2012,613.588,1221.03,1074.2523,2134.25,12459.658700000004,11998.994400000003,24723.219999999998,23810.0
10.01.206-6,24/09/2012,7840.5969,15602.79,605.0446999999999,1202.0700000000002,3062.0861000000014,10297.638300000002,6054.769999999998,20455.489999999998
10.01.206-6,25/09/2012,932.2156,1855.08,1159.3633,2303.33,10297.638300000002,10070.490600000001,20455.489999999998,20007.239999999998
10.01.206-6,01/10/2012,981.6116000000001,1960.9299999999998,1178.5857999999998,2341.07,7723.648400000002,7526.674200000002,15344.649999999998,14964.509999999998
10.01.206-6,08/10/2012,1818.6401,3646.18,316.3672,628.41,2968.2680000000023,4470.540900000002,5909.989999999998,8927.759999999998
10.01.206-6,10/10/2012,10307.3354,20393.52,262.6185,521.65,4470.540900000002,14515.257800000003,8927.759999999998,28799.629999999997
10.01.206-6,11/10/2012,617.9218,1238.87,68.7361,136.53,14515.257800000003,15064.443500000001,28799.629999999997,29901.969999999998
10.01.206-6,25/10/2012,616.6446,1236.32,1116.3873,2217.5499999999997,6248.866800000001,5749.124100000001,12391.27,11410.04
10.01.206-6,30/10/2012,6495.989799999999,12912.59,1107.0993,2199.05,3690.420400000001,9079.3109,7320.77,18034.31
10.01.206-6,05/11/2012,682.3588,1377.53,1272.9374,2552.8500000000004,7188.8613000000005,6598.282700000001,14264.87,13089.55
10.01.206-6,08/11/2012,2375.9667,4796.58,1070.8815000000002,2147.62,5916.709900000001,7221.7951,11722.67,14371.630000000001
10.01.206-6,09/11/2012,2539.3526,5126.389999999999,1020.3046999999999,2046.22,7221.7951,8740.843,14371.630000000001,17451.8
10.01.206-6,13/11/2012,461.9087,932.49,640.1739,1283.85,7762.714600000001,7584.449400000001,15490.169999999998,15138.81
10.01.206-6,23/11/2012,1865.0886,3765.21,328.2028,658.21,4039.660200000001,5576.546000000001,8029.78,11136.779999999999
10.01.206-6,27/11/2012,384.3521,768.94,730.0751,1464.14,5576.546000000001,5230.823000000001,11136.779999999999,10441.58
10.01.206-6,28/11/2012,2417.1948,4835.82,915.0120999999999,1835.05,5230.823000000001,6733.0057000000015,10441.58,13442.349999999999
10.01.206-6,29/11/2012,478.4,1020.0,297.40509999999995,596.4399999999999,6733.0057000000015,6914.000600000001,13442.349999999999,13865.91
10.01.206-6,04/12/2012,656.5975,1375.29,6.6991,13.82,5138.990100000001,5788.888500000001,10246.279999999999,11607.75
10.01.206-6,12/12/2012,1328.7187,2783.13,3.0667,6.32,4377.375800000002,5703.027800000002,8696.98,11473.79
10.01.206-6,19/12/2012,8848.2127,18533.33,5.0987,10.52,3207.9189000000015,12051.032900000002,6328.48,24851.29
10.01.206-6,07/01/2013,629.8755,1269.82,739.6888,1502.9900000000002,9180.3521,9070.538800000002,18931.49,18698.32
10.01.206-6,09/01/2013,1792.6245,3613.94,731.7545,1486.86,8176.7296000000015,9237.599600000001,16882.160000000003,19009.24
10.01.206-6,17/01/2013,33.1737,67.4,1573.9086,3198.05,3973.658800000002,2432.9239000000016,8313.310000000001,5182.66
10.01.206-6,18/01/2013,10638.837,21447.97,1513.5868,3075.49,2432.9239000000016,11558.1741,5182.66,23555.140000000003
10.01.206-6,24/01/2013,1420.1162,2862.96,1136.2471,2308.75,8300.8286,8584.6977,16936.47,17490.680000000004
10.01.206-6,28/01/2013,634.7465,1279.65,404.8804,822.6999999999999,6245.868,6475.734100000001,12738.360000000004,13195.310000000005
10.01.206-6,29/01/2013,2337.4417000000003,4712.3099999999995,1072.6538,2179.55,6475.734100000001,7740.522000000001,13195.310000000005,15728.070000000003
10.01.206-6,01/02/2013,872.5852,1759.44,903.4784000000001,1812.83,5470.3289,5439.435700000001,11115.220000000005,11061.830000000004
10.01.206-6,05/02/2013,433.6159,874.31,689.5797,1383.63,2758.9400000000014,2502.976200000001,5683.450000000004,5174.130000000005
10.01.206-6,06/02/2013,159.069,320.74,7.7998,15.65,2502.976200000001,2654.245400000001,5174.130000000005,5479.220000000005
10.01.206-6,07/02/2013,552.9177,1114.87,1074.3596000000002,2155.7,2654.245400000001,2132.803500000001,5479.220000000005,4438.390000000005
10.01.206-6,08/02/2013,5409.9667,10709.53,952.4066999999999,1910.97,2132.803500000001,6590.363500000001,4438.390000000005,13236.950000000006
10.01.206-6,14/02/2013,1865.384,3761.26,1248.3434000000002,2504.77,5446.743400000001,6063.7840000000015,10942.290000000006,12198.780000000006
10.01.206-6,20/02/2013,619.9502,1247.26,73.3669,147.21,3392.2993000000006,3938.882600000001,6838.490000000007,7938.540000000006
10.01.206-6,26/02/2013,2446.2074,4837.6,1223.1037,2418.8,1812.679900000001,3035.7836000000007,3672.3300000000063,6091.1300000000065
10.01.206-6,01/03/2013,3008.1327,6529.31,3.4564,7.140000000000001,612.6683000000007,3617.344600000001,1229.1900000000069,7751.360000000007
10.01.206-6,07/03/2013,5343.4882,10603.71,716.5790000000001,1481.1499999999999,678.8680000000008,5305.7772,1677.6200000000063,10800.180000000006
10.01.206-6,09/03/2013,2159.9334,4283.06,1173.978,2426.6000000000004,4207.692300000001,5193.6477,8530.470000000007,10386.930000000006
10.01.206-6,13/03/2013,396.2489,1199.39,624.2015,1290.22,3166.834200000001,2938.8816000000006,6197.570000000006,6106.740000000006
10.01.206-6,18/03/2013,5277.2114,10467.89,573.5549000000001,1185.53,955.9330000000004,5659.5895,2008.0400000000063,11290.400000000005
10.01.206-6,20/03/2013,2432.1398,4947.1,968.0666,2000.9700000000003,4357.094,5821.1672,8598.190000000006,11544.320000000005
10.01.206-6,26/03/2013,1827.7842,3803.05,691.9165,1430.1899999999998,1369.6702000000005,2505.5379000000003,2343.190000000004,4716.050000000005
10.01.206-6,27/03/2013,1523.1535,3611.16,14.0725,29.09,2505.5379000000003,4014.6189000000004,4716.050000000005,8298.120000000004
10.01.206-6,02/04/2013,3237.2215,6523.99,0.0,0.0,2374.952,5612.173500000001,4933.280000000004,11457.270000000004
10.01.206-6,11/04/2013,655.94,1322.62,1355.0619,2744.7900000000004,1292.3564000000006,593.2345000000005,2707.060000000003,1284.890000000003
